result = Status(day : 33, money : 4, collection : Collection(15, 15, 40, 40, 15), cost : 161)
time = 988 milisec.
day =   1, money = 5, collection = Collection( 0,  0,  0,  0,  0)
day =   1, money = 4, collection = Collection( 0,  0,  0,  0,  1)
day =   1, money = 3, collection = Collection( 0,  0,  0,  0,  2)
day =   1, money = 2, collection = Collection( 0,  0,  0,  0,  3)
day =   1, money = 1, collection = Collection( 0,  0,  0,  1,  3)
day =   1, money = 0, collection = Collection( 0,  0,  0,  2,  3)
day =   2, money = 5, collection = Collection( 0,  0,  0,  2,  3)
day =   2, money = 4, collection = Collection( 0,  0,  0,  3,  3)
day =   2, money = 3, collection = Collection( 0,  0,  0,  4,  3)
day =   2, money = 2, collection = Collection( 0,  0,  0,  5,  3)
day =   2, money = 1, collection = Collection( 0,  0,  0,  6,  3)
day =   2, money = 0, collection = Collection( 0,  0,  0,  7,  3)
day =   3, money = 5, collection = Collection( 0,  0,  0,  7,  3)
day =   3, money = 4, collection = Collection( 0,  0,  0,  8,  3)
day =   3, money = 3, collection = Collection( 0,  0,  0,  9,  3)
day =   3, money = 2, collection = Collection( 0,  0,  0, 10,  3)
day =   3, money = 1, collection = Collection( 0,  0,  0, 11,  3)
day =   3, money = 0, collection = Collection( 0,  0,  0, 12,  3)
day =   4, money = 5, collection = Collection( 0,  0,  0, 12,  3)
day =   4, money = 4, collection = Collection( 0,  0,  0, 13,  3)
day =   4, money = 3, collection = Collection( 0,  0,  0, 14,  3)
day =   4, money = 2, collection = Collection( 0,  0,  0, 15,  3)
day =   4, money = 1, collection = Collection( 0,  0,  0, 16,  3)
day =   4, money = 0, collection = Collection( 0,  0,  0, 17,  3)
day =   5, money = 5, collection = Collection( 0,  0,  0, 17,  3)
day =   5, money = 4, collection = Collection( 0,  0,  0, 18,  3)
day =   5, money = 3, collection = Collection( 0,  0,  0, 19,  3)
day =   5, money = 2, collection = Collection( 0,  0,  0, 20,  3)
day =   5, money = 1, collection = Collection( 0,  0,  0, 21,  3)
